"local";"fir";"oaci";"Observaciones";"es_EANA";"faa";"iata";"tipo";"denominacion";"Latitud";"Longitud";"coordenadas";"elev";"uom_elev";"ref";"distancia_ref";"direccion_ref";"condicion";"control";"region";"uso";"trafico";"sna";"concesionado";"provincia";"inhab"
"ACB";"SAEF";NA;NA;NA;NA;NA;"Aeródromo";"CORONEL BOGADO/AGROSERVICIOS";-33,27226;-60,57066;"33°16'20\"S  60°34'14\"W";44;"Metros";"Coronel Bogado";6;"NE";"PRIVADO";"NOCONTROL";"RACE";"AEROAPP";"Nacional";"NO";"NO";"SANTA FÉ";"NO"
"ACH";"SAEF";NA;NA;NA;NA;NA;"Aeródromo";"GENERAL ACHA";-37,40164;-64,61351;"37°24' 6\"S  64°36'49\"W";277;"Metros";"General Acha";3;"SO";"PUBLICO";"NOCONTROL";"RACE";"CIVIL";"Nacional";"NO";"NO";"LA PAMPA";"NO"
"ACM";"SAEF";NA;NA;NA;NA;NA;"Aeródromo";"ARRECIFES/LA CURA MALAL";-34,07574;-60,1417;"34° 4'33\"S  60° 8'30\"W";37;"Metros";"Arrecifes";4;"OSO";"PRIVADO";"NOCONTROL";"RACE";"CIVIL";"Nacional";"NO";"NO";"BUENOS AIRES";"NO"
"BOL";"SAVF";"SAVB";NA;NA;NA;"EHL";"Aeródromo";"EL BOLSÓN";-41,94323;-71,53215;"41°56'36\"S  71°31'56\"W";348;"Metros";"El Bolsón";0;"Lindando";"PUBLICO";"AERADIO";"RASU";"CIVIL";"Nacional";"NO";"NO";"RÍO NEGRO";"NO"
"ADT";"SACF";NA;NA;NA;NA;NA;"Aeródromo";"BANDERA/AGROSERVICIOS DOÑA TERESA";-28,85541;-62,26462;"28°51'19\"S  62°15'53\"W";75;"Metros";"Bandera";4;"N";"PRIVADO";"NOCONTROL";"RANO";"AEROAPP";"Nacional";"NO";"NO";"SANTIAGO DEL ESTERO";"NO"
"ADU";"SACF";NA;NA;NA;NA;NA;"Aeródromo";"BANDERA/DUTTO";-28,86691;-62,23812;"28°52' 1\"S  62°14'17\"W";87;"Metros";"Bandera";3;"NE";"PRIVADO";"NOCONTROL";"RANO";"AEROAPP";"Nacional";"NO";"NO";"SANTIAGO DEL ESTERO";"NO"
"SNT";"SAEF";"SAAA";NA;NA;NA;NA;"Aeródromo";"SAN ANTONIO DE ARECO";-34,2198;-59,43911;"34°13'11\"S  59°26'21\"W";30;"Metros";"San Antonio de Areco";3;"NE";"PUBLICO";"NOCONTROL";"RACE";NA;"Nacional";"NO";"NO";"BUENOS AIRES";"NO"
"DIA";"SAEF";"SAAC";NA;"SI";"DIA";"COC";"Aeródromo";"CONCORDIA/COMODORO PIERRESTEGUI";-31,29694444;-57,99666667;"31°17'49\"S  57°59'48\"W";34;"Metros";"Concordia";12;"N";"PUBLICO";"CONTROL";"RACE";"CIVIL";"Nacional";"SI";"NO";"ENTRE RÍOS";"NO"
"AGR";"SACF";NA;NA;NA;NA;NA;"Aeródromo";"ALTA GRACIA";-31,65111111;-64,39388889;"31°39' 4\"S  64°23'38\"W";533;"Metros";"Alta Gracia";2;"E";"PUBLICO";"NOCONTROL";"RANO";"CIVIL";"Nacional";"NO";"NO";"CÓRDOBA";"NO"
"AII";"SAEF";NA;NA;NA;NA;NA;"Aeródromo";"CHACABUCO/LAS DOS A";-34,81116;-60,51661;"34°48'40\"S  60°30'60\"W";60;"Metros";"Chacabuco";20;"SSO";"PRIVADO";"NOCONTROL";"RACE";"AEROAPP";"Nacional";"NO";"NO";"BUENOS AIRES";"NO"
"AJA";"SAMF";NA;NA;NA;NA;NA;"Aeródromo";"LA LAJA";-31,35138889;-68,47305556;"31°21' 5\"S  68°28'23\"W";650;"Metros";"La Laja";1;"SSE";"PRIVADO";"NOCONTROL";"RANO";"CIVIL";"Nacional";"NO";"NO";"SAN JUAN";"NO"
"ALC";"SAEF";NA;NA;NA;NA;NA;"Aeródromo";"AMEGHINO/LA CHACRA";-34,80942;-62,52293;"34°48'34\"S  62°31'23\"W";109;"Metros";"Florentino Ameghino";7;"NO";"PRIVADO";"NOCONTROL";"RACE";"CIVIL";"Nacional";"NO";"NO";"BUENOS AIRES";"NO"
"ALL";"SAEF";NA;NA;NA;NA;NA;"Aeródromo";"ALLEN";-38,95833333;-67,80277778;"38°57'30\"S  67°48'10\"W";290;"Metros";"Allen";3,5;"E";"PRIVADO";"NOCONTROL";"RACE";"CIVIL";"Nacional";"NO";"NO";"RÍO NEGRO";"NO"
"ALR";"SACF";NA;NA;NA;NA;NA;"Aeródromo";"ALEJANDRO ROCA";-33,34861111;-63,73;"33°20'55\"S  63°43'48\"W";210;"Metros";"Alejandro Roca";1,5;"SO";"PRIVADO";"NOCONTROL";"RANO";"CIVIL";"Nacional";"NO";"NO";"CÓRDOBA";"NO"
"ALT";"SACF";NA;NA;NA;NA;NA;"Aeródromo";"CRUZ ALTA";-33,00777778;-61,83694444;"33° 0'28\"S  61°50'13\"W";97;"Metros";"Cruz Alta";2;"O";"PUBLICO";"NOCONTROL";"RACE";"CIVIL";"Nacional";"NO";"NO";"CÓRDOBA";"NO"
"ALV";"SAEF";NA;NA;NA;NA;NA;"Aeródromo";"ALVEAR/AGROALVEAR SRL";-33,06853;-60,66682;"33° 4' 7\"S  60°40' 1\"W";32;"Metros";"Alvear";4,5;"O";"PRIVADO";"NOCONTROL";"RACE";"AEROAPP";"Nacional";"NO";"NO";"SANTA FÉ";"NO"
"AMA";"SAEF";NA;NA;NA;NA;NA;"Aeródromo";"ROBERTS/LA AMALIA";-35,10043;-62,01657;"35° 6' 2\"S  62° 0'60\"W";100;"Metros";"Roberts";6,5;"NO";"PRIVADO";"NOCONTROL";"RACE";"AEROAPP";"Nacional";"NO";"NO";"BUENOS AIRES";"NO"
