"puntos_significativos";"coordenadas";"lat";"long";"ubicacion"
"AGUAD";"310843S-0641240W";-31,1452777777778;-64,2111111111111;"IAC CBA"
"AKNEL";"234756S-0605944W";-23,7988888888889;-60,9955555555556;"UM799"
"AKNOS";"380005S-0625304W";-38,0013888888889;-62,8844444444444;"W67-SID BCA-STAR BCA-TMA BCA"
"AKPEL";"250151S-0594158W";-25,0308333333333;-59,6994444444444;"UM789-UL793-SID CRS SIS-STAR CRS SIS"
"AKPUR";"370536S-0642027W";-37,0933333333333;-64,3408333333333;"T661-SID OSA-TMA OSA"
"AKRAS";"294304S-0662215W";-29,7177777777778;-66,3708333333333;"W16"
"AKRIK";"390241S-0682519W";-39,0447222222222;-68,4219444444444;"IAC NEU-STAR NEU"
"AKROG";"374704S-0575201W";-37,7844444444444;-57,8669444444444;"STAR MDP-IAC MDP"
"AKROL";"311954S-0682318W";-31,3316666666667;-68,3883333333333;"IAC JUA-STAR JUA"
"AKSAS";"294903S-0580939W";-29,8175;-58,1608333333333;"UZ103-UT682"
"AKSIR";"250309S-0653230W";-25,0525;-65,5416666666667;"IAC SAL"
"AKVAD";"460801S-0643927W";-46,1336111111111;-64,6575;"UT108"
"AKVUP";"312333S-0682512W";-31,3925;-68,42;"IAC JUA"
"ALBAL";"341100S-0694900W";-34,1833333333333;-69,8166666666667;"M424-UM424-UT652"
"ALDEX";"313937S-0651147W";-31,6602777777778;-65,1963888888889;"A307-W23-Z104-UZ125-UL531- UT685 -UZ105-SID CBA-STAR CBA-TMA CBA"
"ALDOR";"332959S-0635506W";-33,4997222222222;-63,9183333333333;"W19"
"ALDOS";"261350S-0544120W";-26,2305555555556;-54,6888888888889;"B687-UP779-UL324-SID IGU-TMA FOZ"
"ALDUP";"410103S-0624535W";-41,0175;-62,7597222222222;"IAC VIE"
"ALGAR";"254630S-0660438W";-25,775;-66,0772222222222;"UL322-UL550-SID TUC-STAR SAL-STAR TUC-STAR JUJ"
"ALGEL";"255212S-0551014W";-25,87;-55,1705555555556;"A307-SID IGU-STAR IGU-TMA FOZ"
"ALGIL";"403329S-0710819W";-40,5580555555556;-71,1386111111111;"W32-STAR BAR-SID BAR-TMA BAR-TMA CHP"
"ALOTE";"325755S-0640721W";-32,9652777777778;-64,1225;"IAC TRC"
"AMIAS";"281711S-0654040W";-28,2863888888889;-65,6777777777778;"IAC CAT-STAR CAT"
"AMVIB";"310139S-0595429W";-31,0275;-59,9080555555556;"UN775-UM418"
"ANBUK";"254547S-0540516W";-25,7630555555556;-54,0877777777778;"SID IGU"
"ANDEG";"283657S-0641730W";-28,6158333333333;-64,2916666666667;"W6-UW6-UZ112"
"ANDEX";"464113S-0672848W";-46,6869444444444;-67,48;"W18-TMA CRV"
"ANDUD";"353438S-0625749W";-35,5772222222222;-62,9636111111111;"UW68-UT688"
"ANDUS";"450014S-0585329W";-45,0038888888889;-58,8913888888889;"UT103"
"ANGEM";"383159S-0620654W";-38,5330555555556;-62,115;"IAC BCA-STAR BCA"
"ANGEN";"272044S-0643616W";-27,3455555555556;-64,6044444444444;"UT680-W8-STAR TUC-SID SDE TUC-TMA SDE-TMA TUC"
"ANKAB";"245737S-0650534W";-24,9602777777778;-65,0927777777778;"SID SAL"
"ANKOK";"381459S-0510001W";-38,2497222222222;-51,0002777777778;"UL211F"
"ANKON";"351200S-0703000W";-35,2;-70,5;"B684-UM783-STAR MLG"
"ANLIS";"333153S-0672115W";-33,5313888888889;-67,3541666666667;"UT688-W71-STAR DOZ"
"ANRAL";"323200S-0592208W";-32,5333333333333;-59,3688888888889;"UL417-UM534"
"ANSIB";"513721S-0693618W";-51,6225;-69,605;"IAC GAL-STAR GAL"
"ANSIG";"281522S-0644952W";-28,2561111111111;-64,8311111111111;"W5"
"ARMOS";"241730S-0675845W";-24,2916666666667;-67,9791666666667;"UM543"
