"NOMBRE.DE.LA.ESTACION";"RADIOAYUDA";"ID";"KHz";"MHz";"Horas.de.funciona-.miento";"Coordenadas";"lat_cat";"long_cat";"Elev.Antena.DME";"Cobertura_km";"Restricciones";"lat";"long"
"BASE MARAMBIO";"NDB";"MBI";345;NA;"O/R";"641520S-0563850W";"641520S";"0563850W";NA;250;NA;-64,2555555555556;-56,6472222222222
"GENERAL PICO";"NDB";"GPI";285,5;NA;"O/R";"354115S-0634529W";"354115S";"0634529W";NA;350;NA;-35,6875;-63,7580555555556
"GENERAL ROCA";"NDB";"GNR";275;NA;"HJ";"385859S-0673604W";"385859S";"0673604W";NA;92;NA;-38,9830555555556;-67,6011111111111
"JUNIN";"NDB";"NIN";220;NA;"H 24";"343304S-0605602W";"343304S";"0605602W";NA;350;NA;-34,5511111111111;-60,9338888888889
"LA PLATA";"NDB";"PTA";250;NA;"H 24";"345800S-0575352W";"345800S";"0575352W";NA;150;NA;-34,9666666666667;-57,8977777777778
"PASO DE LOS LIBRES";"NDB";"LIB";250;NA;"OR";"294141S-0570853W";"294141S";"0570853W";NA;350;NA;-29,6947222222222;-57,1480555555556
"PEHUAJO";"NDB";"PEH";265;NA;"HJ";"355028S-0615139W";"355028S";"0615139W";NA;425;NA;-35,8411111111111;-61,8608333333333
"PERITO MORENO";"NDB";"PTM";285;NA;"H-24";"463211S-0705910W";"463211S";"0705910W";NA;65;"(FL 200) 28 Km (FL 080)";-46,5363888888889;-70,9861111111111
"PRES. ROQUE SAENZ PEÑA/Termal";"NDB";"PSP";205;NA;"O/R";"264450S-0602910W";"264450S";"0602910W";NA;330;NA;-26,7472222222222;-60,4861111111111
"PUERTO DESEADO";"NDB";"ADO";210;NA;"O/R";"474400S-0655434W";"474400S";"0655434W";NA;300;NA;-47,7333333333333;-65,9094444444444
"PUNTA INDIO";"NDB";"PDI";325;NA;"H-24";"352110S-0571826W";"352110S";"0571826W";NA;400;NA;-35,3527777777778;-57,3072222222222
"QUILMES";"NDB";"ILM";210;NA;"H-24";"344239S-0581425W";"344239S";"0581425W";NA;300;NA;-34,7108333333333;-58,2402777777778
"SAN ANTONIO OESTE";"NDB";"SAN";220;NA;"H-24";"404553S-0650203W";"404553S";"0650203W";NA;300;NA;-40,7647222222222;-65,0341666666667
"SAN MARTIN DE LOS ANDES/A.C. Campos";"NDB";"CHP";265;NA;"OR";"400454S-0710850W";"400454S";"0710850W";NA;300;NA;-40,0816666666667;-71,1472222222222
"SANTA CRUZ";"NDB";"SCZ";245;NA;NA;"500118S-0683446W";"500118S";"0683446W";NA;350;NA;-50,0216666666667;-68,5794444444444
"SANTA FE/SAUCE VIEJO";"NDB";"SVO";405;NA;"H-24";"314242S-0604823W";"314242S";"0604823W";NA;425;NA;-31,7116666666667;-60,8063888888889
"VILLA GESELL";"NDB";"GES";242;NA;"H-24";"371405S-0570126W";"371405S";"0570126W";NA;350;NA;-37,2347222222222;-57,0238888888889
"GENERAL BELGRANO";"VOR";"GBE";NA;115,6;"H 24";"354503S-0582753W";"354503S";"0582753W";NA;350;NA;-35,7508333333333;-58,4647222222222
